barcode,titck_product_code,trade_name,manufacturer,atc_code,active_substance_tr,dosage_form,strength_value,strength_unit,strength_text,package_size_text,rx_only,reimbursable,retired_at
8690632991139,,RESOURCE PROTEIN CILEK AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632991146,,RESOURCE PROTEIN VANILYA AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632991153,,RESOURCE PROTEIN KAYISI AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632991177,,RESOURCE PROTEIN CIKOLATALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632991191,,RESOURCE DIABET VANILYA 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632991207,,RESOURCE DIABET KAHVE 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632991214,,RESOURCE DIABET CILEK AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632991542,,"GLYCOSADE 1,8 KG 30X60 G",NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06D,,,,,,8 KG 30X60 G,true,false,
8690632991559,,RESOURCE JUNIOR FIBRE VANILYA AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
8690632991566,,RESOURCE JUNIOR FIBRE CILEK AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ ANONİM ŞİRKETİ,V06DB,,,200,ml,200 ML,,true,true,
8690632991573,,RESOURCE JUNIOR FIBRE CIKOLATA AROMALI 200 ML,NESTLE TÜRKİYE GIDA SANAYİ A.Ş.,V06DB,,,200,ml,200 ML,,true,true,
